年月別,火災發生次數[次],每日火災發生次數[次],火災被毀損房屋數[戶],火災死亡人數[人],火災受傷人數[人],火災財物損失估值[千元],消防車輛[輛],消防人員[人],消防安全設備檢查件次[件次],供公眾使用建築物安全檢查[家次],違建查報拆除件數[件],緊急救護送醫人次[人次]
87年1月,92,2.97,41,8,17,4620,0,2049,0,0,0,0
87年2月,74,2.64,35,3,9,4091,0,2049,0,0,0,0
87年3月,47,1.52,28,2,6,3051,0,2050,0,0,0,0
87年4月,63,2.1,19,2,1,1531,0,2041,0,0,0,0
87年5月,78,2.52,20,4,8,3393,0,2040,0,0,0,0
87年6月,88,2.93,31,1,4,3235,759,1973,0,0,0,0
87年7月,122,3.94,50,1,20,7457,0,2362,0,0,0,0
87年8月,97,3.13,42,1,15,5791,0,2358,0,0,0,0
87年9月,70,2.33,34,5,22,6924,0,2361,0,0,0,0
87年10月,76,2.45,31,0,3,2670,0,2361,0,0,0,0
87年11月,83,2.77,35,3,8,4841,0,2358,0,0,0,0
87年12月,95,3.06,56,4,13,4276,690,2347,0,0,0,0
88年1月,73,2.35,41,2,8,9571,0,2310,0,0,0,0
88年2月,92,3.29,53,1,14,8105,0,2302,0,0,0,0
88年3月,59,1.9,19,2,4,3571,0,2300,0,0,0,0
88年4月,62,2.07,43,1,6,7271,0,2314,0,0,0,0
88年5月,65,2.1,76,1,4,11894,0,2314,0,0,0,0
88年6月,75,2.5,51,4,6,12246,690,2276,0,0,0,0
88年7月,129,4.16,58,4,7,5955,0,2330,0,0,0,0
88年8月,78,2.52,52,1,4,15377,0,2325,0,0,0,0
88年9月,91,3.03,65,0,4,13392,0,2320,0,0,0,0
88年10月,65,2.1,68,2,8,9929,0,2315,0,0,0,0
88年11月,63,2.1,52,0,17,6251,0,2315,0,0,0,0
88年12月,84,2.71,80,2,29,11989,666,2361,0,0,0,0
89年1月,93,3,53,2,6,6652,0,2368,0,0,0,0
89年2月,84,2.9,44,1,7,15047,0,2367,0,0,0,0
89年3月,74,2.39,39,0,11,6922,0,2364,0,0,0,0
89年4月,56,1.87,36,2,3,9806,0,2362,0,0,0,0
89年5月,63,2.03,23,0,6,4614,0,2362,0,0,0,0
89年6月,67,2.23,35,1,1,8169,671,2444,0,0,0,0
89年7月,61,1.97,83,2,15,14736,0,2469,0,0,0,0
89年8月,60,1.94,31,0,7,3578,0,2465,0,0,0,0
89年9月,82,2.73,42,3,7,4928,0,2468,0,0,0,0
89年10月,50,1.61,21,1,5,2915,0,2468,0,0,0,0
89年11月,77,2.57,44,3,6,24997,0,2470,0,0,0,0
89年12月,87,2.81,44,3,6,8428,672,2477,0,0,0,0
90年1月,65,2.1,24,0,5,2968,0,2472,0,0,0,0
90年2月,56,2,29,0,6,4238,0,2471,0,0,0,0
90年3月,54,1.74,30,0,3,3589,0,2471,0,0,0,0
90年4月,67,2.23,30,1,11,7719,0,2468,0,0,0,0
90年5月,56,1.81,19,0,6,2548,0,2469,0,0,0,0
90年6月,63,2.1,42,0,11,8294,665,2492,0,0,0,0
90年7月,66,2.13,21,0,2,2418,0,2534,0,0,0,0
90年8月,80,2.58,61,1,10,4479,0,2533,0,0,0,0
90年9月,93,3.1,56,6,5,13644,0,2529,0,0,0,0
90年10月,69,2.23,25,0,5,9215,0,2528,0,0,0,0
90年11月,67,2.23,32,4,5,10476,0,2524,0,0,0,0
90年12月,78,2.52,42,4,5,5340,680,2504,0,0,0,0
91年1月,50,1.61,20,0,0,4334,0,2502,0,0,0,0
91年2月,93,3.32,54,0,0,8870,0,2502,0,0,0,0
91年3月,69,2.23,31,0,0,3077,0,2497,0,0,0,0
91年4月,68,2.27,22,0,0,5229,0,2493,0,0,0,0
91年5月,70,2.26,26,0,0,4986,0,2489,0,0,0,0
91年6月,49,1.63,28,0,0,3879,694,2707,0,0,0,0
91年7月,45,1.45,31,0,0,5002,0,2682,0,0,0,0
91年8月,60,1.94,36,0,0,4856,0,2678,0,0,0,0
91年9月,56,1.87,37,0,0,13308,0,2677,0,0,0,0
91年10月,47,1.52,24,0,0,3054,0,2721,0,0,0,0
91年11月,47,1.57,24,0,0,3362,0,2720,0,0,0,0
